Date,Open,High,Low,Close,Adj Close,Volume
2023-09-18,162.119995,163.149994,160.750000,162.470001,159.964706,5789000
2023-09-19,162.250000,162.850006,161.380005,162.199997,159.698868,5550800
2023-09-20,162.190002,163.539993,161.660004,162.910004,160.397919,3837400
2023-09-21,162.570007,163.500000,161.589996,161.660004,159.167191,4526700
2023-09-22,161.300003,161.399994,160.250000,160.500000,158.025085,4976700
2023-09-25,160.070007,160.360001,158.729996,160.259995,157.788773,6722500
2023-09-26,159.809998,160.080002,158.860001,159.020004,156.567902,4904800
2023-09-27,158.580002,158.759995,155.259995,157.110001,154.687363,10211600
2023-09-28,157.500000,157.960007,156.220001,156.880005,154.460907,7861900
2023-09-29,157.369995,157.600006,155.350006,155.750000,153.348328,7679900
2023-10-02,155.419998,155.419998,153.320007,155.149994,152.757568,7259700
2023-10-03,154.679993,155.500000,153.889999,155.339996,152.944641,5740800
2023-10-04,155.570007,155.929993,154.570007,155.520004,153.121887,4955200
2023-10-05,156.270004,158.039993,156.070007,157.139999,154.716888,5993300
2023-10-06,157.080002,158.300003,156.589996,157.639999,155.209183,5801100
2023-10-09,157.179993,158.880005,157.089996,158.539993,156.095291,4414100
2023-10-10,158.380005,159.270004,157.899994,158.360001,155.918076,5273500
2023-10-11,158.460007,159.050003,156.039993,156.179993,153.771683,6922900
2023-10-12,155.919998,156.559998,155.070007,156.330002,153.919388,5792400
2023-10-13,156.729996,157.360001,156.050003,156.850006,154.431366,5359800
2023-10-16,157.820007,158.250000,156.839996,157.529999,155.100876,6408100
2023-10-17,155.979996,158.949997,154.610001,156.089996,153.683075,12244400
2023-10-18,155.410004,155.949997,152.050003,152.729996,150.374878,9097300
2023-10-19,151.669998,153.110001,150.149994,152.320007,149.971222,7733800
2023-10-20,152.740005,153.869995,152.330002,153.000000,150.640732,7206600
2023-10-23,152.860001,153.500000,151.210007,151.389999,149.055557,5874000
2023-10-24,150.750000,151.960007,150.130005,151.229996,148.898010,6155300
2023-10-25,151.240005,152.169998,150.229996,151.570007,149.232788,5880800
2023-10-26,151.970001,151.970001,148.880005,149.000000,146.702408,7612500
2023-10-27,148.490005,148.660004,144.949997,145.600006,143.354858,11385800
2023-10-30,146.089996,147.240005,146.000000,147.029999,144.762787,8205300
2023-10-31,147.539993,148.539993,146.639999,148.339996,146.052582,7576900
2023-11-01,149.190002,149.759995,148.460007,148.690002,146.397202,5733000
2023-11-02,147.710007,150.399994,147.539993,150.240005,147.923294,5349100
2023-11-03,151.210007,152.270004,150.149994,151.339996,149.006317,4925500
2023-11-06,151.779999,152.429993,151.369995,151.699997,149.360779,4851400
2023-11-07,151.929993,152.250000,150.679993,150.899994,148.573105,4840400
2023-11-08,151.350006,151.830002,150.339996,150.350006,148.031601,5460000
2023-11-09,150.500000,150.500000,147.259995,147.419998,145.146774,6973600
2023-11-10,148.250000,148.500000,145.639999,147.250000,144.979401,6930700
2023-11-13,147.250000,147.899994,146.649994,147.630005,145.353546,5889300
2023-11-14,147.639999,148.539993,146.970001,147.660004,145.383072,6713600
2023-11-15,147.350006,149.419998,147.270004,148.800003,146.505508,6729100
2023-11-16,149.500000,150.169998,148.639999,150.100006,147.785461,6875600
2023-11-17,150.550003,150.789993,149.070007,149.789993,147.480225,7023300
2023-11-20,147.910004,150.399994,147.539993,149.910004,148.780365,8851700
2023-11-21,150.100006,151.289993,149.610001,151.119995,149.981232,5916300
2023-11-22,151.630005,152.039993,150.389999,150.820007,149.683502,4633500
2023-11-24,150.860001,152.679993,150.860001,152.500000,151.350845,3351400
2023-11-27,152.289993,152.320007,150.970001,151.279999,150.140030,6449700
2023-11-28,151.399994,151.809998,150.839996,151.630005,150.487396,5909000
2023-11-29,151.330002,152.199997,151.070007,152.110001,150.963776,5190000
2023-11-30,152.259995,155.139999,151.919998,154.660004,153.494568,12481900
2023-12-01,156.440002,158.460007,155.470001,158.380005,157.186539,10342500
2023-12-04,158.000000,160.020004,158.000000,158.880005,157.682770,8920300
2023-12-05,158.800003,159.630005,158.220001,158.550003,157.355255,7268200
2023-12-06,158.520004,158.660004,156.169998,156.619995,155.439789,6642900
2023-12-07,156.580002,156.580002,154.710007,155.399994,154.228989,6532400
2023-12-08,155.419998,155.850006,153.839996,154.419998,153.256378,6253700
2023-12-11,154.500000,155.479996,154.350006,155.059998,153.891556,6090400
2023-12-12,155.000000,155.320007,153.649994,155.070007,153.901489,5324400
2023-12-13,153.660004,155.940002,151.770004,155.789993,154.616043,10764600
2023-12-14,156.470001,157.160004,155.050003,156.869995,155.687912,9240700
2023-12-15,155.490005,156.690002,153.759995,155.160004,153.990799,21712500
2023-12-18,155.210007,156.440002,154.759995,155.440002,154.268692,7231400
2023-12-19,155.300003,156.500000,154.940002,156.460007,155.281006,6651500
2023-12-20,156.539993,156.660004,153.110001,153.270004,152.115051,7008300
2023-12-21,153.690002,155.130005,153.300003,154.839996,153.673203,4598600
2023-12-22,155.250000,156.529999,155.020004,155.460007,154.288544,3798500
2023-12-26,155.000000,156.350006,154.850006,156.139999,154.963409,4170000
2023-12-27,155.500000,156.520004,155.419998,156.350006,155.171844,5288100
2023-12-28,156.000000,157.240005,155.990005,156.580002,155.400101,4377500
2023-12-29,156.509995,156.899994,155.979996,156.740005,155.558899,4311100
2024-01-02,156.929993,161.639999,156.789993,159.970001,158.764557,9622100
2024-01-03,160.639999,161.440002,159.800003,160.970001,159.757019,8232000
2024-01-04,161.589996,161.979996,160.419998,160.630005,159.419586,6766600
2024-01-05,160.500000,161.339996,159.470001,161.130005,159.915817,5602500
2024-01-08,161.100006,161.660004,159.610001,161.529999,160.312790,6569800
2024-01-09,161.630005,163.279999,160.600006,161.630005,160.412048,6357000
2024-01-10,161.820007,162.619995,161.199997,161.869995,160.650238,4945100
2024-01-11,162.070007,162.199997,160.779999,161.149994,159.935654,4946000
2024-01-12,161.839996,162.470001,161.690002,162.389999,161.166321,4496500
2024-01-16,161.570007,162.250000,160.179993,160.520004,159.310410,6923200
2024-01-17,160.250000,161.300003,159.869995,160.429993,159.221085,5072100
2024-01-18,160.000000,161.369995,159.690002,161.210007,159.995209,5368500
2024-01-19,161.149994,161.919998,160.279999,161.679993,160.461655,7055800
2024-01-22,162.000000,163.580002,161.339996,162.470001,161.245712,6824200
2024-01-23,159.660004,160.509995,156.910004,159.809998,158.605759,9149800
2024-01-24,159.750000,160.600006,158.160004,158.960007,157.762177,7247900
2024-01-25,159.000000,159.619995,158.470001,159.559998,158.357635,5478900
2024-01-26,160.429993,160.740005,159.360001,159.500000,158.298096,5591900
2024-01-29,159.009995,160.070007,158.960007,159.360001,158.159149,6483200
2024-01-30,159.350006,159.759995,158.130005,158.770004,157.573593,7200500
2024-01-31,160.399994,160.619995,158.669998,158.899994,157.702606,8256800
2024-02-01,158.160004,158.490005,157.050003,158.360001,157.166687,8012000
2024-02-02,157.970001,158.309998,155.940002,156.610001,155.429871,8295500
2024-02-05,156.610001,156.889999,155.339996,155.800003,154.625977,9121600
2024-02-06,155.830002,158.729996,155.600006,158.059998,156.868942,9229900
2024-02-07,157.800003,159.369995,157.690002,157.979996,156.789551,8690300
2024-02-08,157.339996,157.339996,155.309998,156.399994,155.221451,9755000
2024-02-09,156.270004,157.199997,155.669998,156.759995,155.578735,6529200
2024-02-12,156.580002,158.410004,156.350006,157.850006,156.660538,6701500
2024-02-13,157.639999,158.449997,155.750000,156.470001,155.290924,8621000
2024-02-14,156.350006,156.460007,154.839996,155.740005,154.566437,9098800
2024-02-15,155.979996,158.479996,155.889999,157.919998,156.729996,7462500
2024-02-16,156.600006,157.259995,155.669998,156.550003,156.550003,8540700
2024-02-20,156.559998,158.610001,156.440002,157.860001,157.860001,9501700
2024-02-21,158.020004,158.690002,157.130005,158.679993,158.679993,7473300
2024-02-22,158.979996,160.740005,157.770004,160.449997,160.449997,8065000
2024-02-23,160.880005,162.250000,160.160004,161.839996,161.839996,6726000
2024-02-26,161.800003,162.009995,160.570007,160.789993,160.789993,5465400
2024-02-27,160.339996,161.039993,159.639999,160.979996,160.979996,5078600
2024-02-28,161.000000,161.610001,160.289993,161.550003,161.550003,6071100
2024-02-29,162.000000,162.190002,160.940002,161.380005,161.380005,9849100
2024-03-01,161.830002,162.570007,161.089996,162.119995,162.119995,5668000
2024-03-04,161.320007,161.610001,158.270004,159.839996,159.839996,8532900
2024-03-05,160.619995,161.240005,159.199997,159.970001,159.970001,8298200
2024-03-06,159.460007,160.929993,159.220001,159.339996,159.339996,5773700
2024-03-07,160.000000,160.360001,158.240005,158.869995,158.869995,5188700
2024-03-08,158.869995,160.389999,158.429993,159.520004,159.520004,5283200
2024-03-11,159.490005,161.320007,158.880005,161.229996,161.229996,4620800
2024-03-12,161.580002,163.110001,161.130005,162.740005,162.740005,8018700
2024-03-13,162.529999,162.679993,159.809998,161.100006,161.100006,6260000
2024-03-14,160.940002,161.539993,158.690002,159.210007,159.210007,6988300
2024-03-15,158.059998,159.190002,157.100006,158.179993,158.179993,13165500
